alert	rule	path	line	reason	comment
2371	cs/call-to-gc	editor/KeenEyes.Editor/HotReload/HotReloadManager.cs	277	won't fix	GC.Collect is required to drain a collectible AssemblyLoadContext during hot reload; documented MS unloadability pattern.
2372	cs/call-to-gc	editor/KeenEyes.Editor/HotReload/HotReloadManager.cs	279	won't fix	Second GC.Collect after WaitForPendingFinalizers is part of the documented AssemblyLoadContext unload pattern.
2373	cs/call-to-gc	editor/KeenEyes.Editor/Plugins/PluginLoader.cs	330	won't fix	GC.Collect/WaitForPendingFinalizers is the documented pattern for collectible AssemblyLoadContext unloading (see MS unloadability docs).
2374	cs/call-to-gc	tests/KeenEyes.Replay.Tests/ReplayPlaybackPluginTests.cs	380	used in tests	Deterministic GC for a memory-behavior test: forces collection/finalization before asserting.
2375	cs/call-to-gc	tests/KeenEyes.Replay.Tests/ReplayPlaybackPluginTests.cs	382	used in tests	Deterministic GC for a memory-behavior test: forces collection/finalization before asserting.
2376	cs/call-to-gc	tests/KeenEyes.Replay.Tests/ReplayPlaybackPluginTests.cs	407	used in tests	Deterministic GC for a memory-behavior test: forces collection/finalization before asserting.
2377	cs/call-to-gc	tests/KeenEyes.Replay.Tests/ReplayPlaybackPluginTests.cs	409	used in tests	Deterministic GC for a memory-behavior test: forces collection/finalization before asserting.
1027	cs/call-to-gc	tests/KeenEyes.Replay.Tests/ReplayPluginTests.cs	601	used in tests	Deterministic GC for a memory-behavior test: forces collection/finalization before asserting.
1028	cs/call-to-gc	tests/KeenEyes.Replay.Tests/ReplayPluginTests.cs	603	used in tests	Deterministic GC for a memory-behavior test: forces collection/finalization before asserting.
1029	cs/call-to-gc	tests/KeenEyes.Replay.Tests/ReplayPluginTests.cs	633	used in tests	Deterministic GC for a memory-behavior test: forces collection/finalization before asserting.
1030	cs/call-to-gc	tests/KeenEyes.Replay.Tests/ReplayPluginTests.cs	635	used in tests	Deterministic GC for a memory-behavior test: forces collection/finalization before asserting.
1031	cs/call-to-gc	tests/KeenEyes.Replay.Tests/ReplayPluginTests.cs	672	used in tests	Deterministic GC for a memory-behavior test: forces collection/finalization before asserting.
1032	cs/call-to-gc	tests/KeenEyes.Replay.Tests/ReplayPluginTests.cs	674	used in tests	Deterministic GC for a memory-behavior test: forces collection/finalization before asserting.
2212	cs/call-to-obsolete-method	src/KeenEyes.Testing/Capabilities/MockPrefabCapability.cs	96	used in tests	MockPrefabCapability deliberately mocks the deprecated runtime prefab API for tests; the [Obsolete] replacement is build-time .keprefab source generation with no runtime equivalent to call
2213	cs/call-to-obsolete-method	src/KeenEyes.Testing/Capabilities/MockPrefabCapability.cs	98	used in tests	MockPrefabCapability deliberately mocks the deprecated runtime prefab API for tests; the [Obsolete] replacement is build-time .keprefab source generation with no runtime equivalent to call
2214	cs/call-to-obsolete-method	tests/KeenEyes.Core.Tests/PrefabTests.cs	72	used in tests	Deliberately exercises the deprecated runtime prefab API (EntityPrefab / RegisterPrefab / SpawnFromPrefab). The replacement is build-time source-generated .keprefab spawn methods, which have no runtime-API equivalent for registration, inheritance resolution, or error-handling behaviors under test; these tests guard the still-shipping deprecated API. API removal is a separate concern (out of scope for a test PR).
2215	cs/call-to-obsolete-method	tests/KeenEyes.Core.Tests/PrefabTests.cs	74	used in tests	Deliberately exercises the deprecated runtime prefab API (EntityPrefab / RegisterPrefab / SpawnFromPrefab). The replacement is build-time source-generated .keprefab spawn methods, which have no runtime-API equivalent for registration, inheritance resolution, or error-handling behaviors under test; these tests guard the still-shipping deprecated API. API removal is a separate concern (out of scope for a test PR).
2216	cs/call-to-obsolete-method	tests/KeenEyes.Core.Tests/PrefabTests.cs	101	used in tests	Deliberately exercises the deprecated runtime prefab API (EntityPrefab / RegisterPrefab / SpawnFromPrefab). The replacement is build-time source-generated .keprefab spawn methods, which have no runtime-API equivalent for registration, inheritance resolution, or error-handling behaviors under test; these tests guard the still-shipping deprecated API. API removal is a separate concern (out of scope for a test PR).
2217	cs/call-to-obsolete-method	tests/KeenEyes.Core.Tests/PrefabTests.cs	116	used in tests	Deliberately exercises the deprecated runtime prefab API (EntityPrefab / RegisterPrefab / SpawnFromPrefab). The replacement is build-time source-generated .keprefab spawn methods, which have no runtime-API equivalent for registration, inheritance resolution, or error-handling behaviors under test; these tests guard the still-shipping deprecated API. API removal is a separate concern (out of scope for a test PR).
2218	cs/call-to-obsolete-method	tests/KeenEyes.Core.Tests/PrefabTests.cs	118	used in tests	Deliberately exercises the deprecated runtime prefab API (EntityPrefab / RegisterPrefab / SpawnFromPrefab). The replacement is build-time source-generated .keprefab spawn methods, which have no runtime-API equivalent for registration, inheritance resolution, or error-handling behaviors under test; these tests guard the still-shipping deprecated API. API removal is a separate concern (out of scope for a test PR).
2219	cs/call-to-obsolete-method	tests/KeenEyes.Core.Tests/PrefabTests.cs	126	used in tests	Deliberately exercises the deprecated runtime prefab API (EntityPrefab / RegisterPrefab / SpawnFromPrefab). The replacement is build-time source-generated .keprefab spawn methods, which have no runtime-API equivalent for registration, inheritance resolution, or error-handling behaviors under test; these tests guard the still-shipping deprecated API. API removal is a separate concern (out of scope for a test PR).
